U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13
443.16425,NaN,NaN,218.22925,NaN,578.3784,95.1941,NaN,650.11995,NaN,NaN,47.8977,43.64835
443.6486,NaN,NaN,219.06,NaN,590.2798,95.53295,NaN,651.51475,NaN,NaN,48.3965,43.9048
444.24405,NaN,NaN,220.19045,NaN,590.65875,95.90085,NaN,657.2419,NaN,NaN,48.65175,44.2181
445.08235,NaN,NaN,220.8757,NaN,591.1844,96.5829,NaN,660.9928,NaN,NaN,48.8942,44.48695
445.63305,NaN,NaN,221.4777,NaN,592.24995,96.9576,NaN,662.66595,NaN,NaN,49.14935,44.66405
447.66655,NaN,NaN,222.71475,NaN,592.97915,97.2351,NaN,664.59085,NaN,NaN,49.4191,44.82865
447.7102,NaN,NaN,223.51325,NaN,595.81595,98.0804,NaN,678.83005,NaN,NaN,49.49465,45.00605
448.07245,NaN,NaN,224.1051,NaN,596.51955,98.42105,NaN,679.9996,NaN,NaN,49.51125,45.29595
448.70545,NaN,NaN,224.6412,NaN,598.19475,98.8202,NaN,682.1994,NaN,NaN,49.6987,45.57055
449.27025,NaN,NaN,225.50005,NaN,600.11515,99.40055,NaN,697.15435,NaN,NaN,49.9065,45.8031
450.65185,NaN,NaN,226.25195,NaN,611.2164,99.59385,NaN,710.9793,NaN,NaN,50.40985,46.05925
452.8409,NaN,NaN,226.7396,NaN,611.8804,99.7882,NaN,711.0166,NaN,NaN,50.67625,46.4304
458.1777,NaN,NaN,227.489,NaN,614.94515,100.05505,NaN,711.88165,NaN,NaN,50.92115,46.6785
464.53235,NaN,NaN,228.2629,NaN,615.53865,100.67095,NaN,716.4051,NaN,NaN,51.1963,46.90185
464.98545,NaN,NaN,229.0496,NaN,623.3378,101.22575,NaN,725.56355,NaN,NaN,51.44435,47.1114
466.75765,NaN,NaN,229.09135,NaN,623.56295,102.0772,NaN,726.1561,NaN,NaN,51.67055,47.40615
470.9719,NaN,NaN,229.2648,NaN,623.68835,102.46745,NaN,726.1735,NaN,NaN,51.9224,47.6223
489.6954,NaN,NaN,229.3437,NaN,624.17525,102.78055,NaN,732.3978,NaN,NaN,52.1893,47.7673
490.2261,NaN,NaN,229.3858,NaN,625.6559,103.0919,NaN,732.43425,NaN,NaN,52.4119,47.955
490.89715,NaN,NaN,229.6209,NaN,639.35835,103.54875,NaN,739.56935,NaN,NaN,52.65845,48.15445
491.6608,NaN,NaN,229.7196,NaN,639.3956,103.8441,NaN,747.4401,NaN,NaN,52.88515,48.32635
492.28835,NaN,NaN,230.0486,NaN,640.6204,104.15635,NaN,749.29225,NaN,NaN,53.1462,48.47375
493.42065,NaN,NaN,232.20015,NaN,641.82345,104.4146,NaN,749.301,NaN,NaN,53.3909,48.6104
494.61905,NaN,NaN,232.78535,NaN,642.28995,104.72575,NaN,749.3424,NaN,NaN,53.63245,48.7939
501.69545,NaN,NaN,233.29435,NaN,643.1545,105.0772,NaN,758.28765,NaN,NaN,53.85585,49.0268
502.92545,NaN,NaN,233.43725,NaN,644.07815,105.78825,NaN,759.64825,NaN,NaN,54.0696,49.19545
503.6196,NaN,NaN,233.7564,NaN,646.89645,106.2463,NaN,760.08645,NaN,NaN,54.3106,49.3914
503.9116,NaN,NaN,234.03785,NaN,651.4107,106.8041,NaN,770.5396,NaN,NaN,54.5293,49.50685
504.56635,NaN,NaN,234.6094,NaN,651.5437,108.36085,NaN,770.7413,NaN,NaN,54.772,49.67185
505.66855,NaN,NaN,235.4628,NaN,651.92495,108.81065,NaN,771.4376,NaN,NaN,55.0199,49.83195
506.1678,NaN,NaN,236.3393,NaN,652.1656,109.1544,NaN,771.9761,NaN,NaN,55.27245,50.05545
507.35055,NaN,NaN,237.76965,NaN,652.77165,109.57555,NaN,771.9945,NaN,NaN,55.74225,50.21505
507.8595,NaN,NaN,240.40035,NaN,653.1205,109.86265,NaN,773.6113,NaN,NaN,55.9875,50.38515
508.658,NaN,NaN,242.2214,NaN,653.72245,110.08225,NaN,774.9668,NaN,NaN,56.25335,50.52435
512.73555,NaN,NaN,242.25055,NaN,654.6686,110.4121,NaN,777.74415,NaN,NaN,56.50595,50.7008
514.84725,NaN,NaN,242.26255,NaN,655.40935,110.7636,NaN,778.563,NaN,NaN,56.7288,50.916
516.61095,NaN,NaN,245.34865,NaN,657.0054,111.2173,NaN,785.64085,NaN,NaN,57.21335,51.08245
517.5169,NaN,NaN,246.1473,NaN,657.4528,111.9872,NaN,785.6569,NaN,NaN,57.47225,51.1969
518.32845,NaN,NaN,247.9538,NaN,661.03305,112.41995,NaN,785.6597,NaN,NaN,57.7029,51.39875
518.85175,NaN,NaN,248.78675,NaN,663.3512,112.80275,NaN,789.5471,NaN,NaN,57.9956,51.5463
519.95145,NaN,NaN,250.17045,NaN,664.09445,113.0916,NaN,789.80385,NaN,NaN,58.2741,51.74505
520.6858,NaN,NaN,251.0245,NaN,665.27965,113.5968,NaN,794.62175,NaN,NaN,58.53965,51.92195
521.4694,NaN,NaN,251.54925,NaN,665.58755,114.24825,NaN,794.68135,NaN,NaN,58.80965,52.0653
